Sale_ID,Manufacturer,Model,Body_Style,Fuel_Type,Transmission,Country_Origin,Price_Segment,Ex_Showroom_Price,Dealer_Location,Customer_Age_Group,Ownership_Type,Booking_Type,Discount_Offered (%),Insurance_Package,Marketing_Channel,Customer_Rating,Delivery_Delay_Days,Financing_Opted,Customer_Region,Date ,Age
SAL00040,Mercedes,GLA,Pickup,Electric,Automatic,Germany,Luxury,6330943,Tripura,26-35,Repeat Buyer,Offline,6.3,Standard,Online Ads,2,1,No,South,29-11-2024,28.0
SAL00041,Tata,Altroz,MPV,Electric,Automatic,India,Premium,1889310,Odisha,46-60,First-Time Buyer,Offline,4.3,Comprehensive,Dealership Visit,2,2,No,West,28-12-2024,46.0
SAL00042,Skoda,Kushaq,Hatchback,Diesel,Manual,Germany,Mid,787070,Andhra Pradesh,46-60,First-Time Buyer,Online,3.1,Premium,Online Ads,4,3,No,Central,23-06-2024,57.0
SAL00043,Toyota,Innova Hycross,Pickup,Petrol,Manual,Japan,Luxury,5935319,Odisha,18-25,First-Time Buyer,Offline,4.5,Standard,Dealership Visit,5,0,Yes,North,24-08-2024,21.0
SAL00044,Audi,Q7,MPV,CNG,Automatic,Germany,Mid,816381,Assam,26-35,Repeat Buyer,Online,5.1,Comprehensive,Social Media,4,2,Yes,Central,01-08-2024,30.0
SAL00045,Renault,Duster,Pickup,Electric,Automatic,France,Mid,1039467,Meghalaya,18-25,Repeat Buyer,Online,1.5,Standard,Social Media,1,2,Yes,South,09-12-2024,19.0
SAL00046,Lexus,RX500h,MPV,Diesel,Automatic,Japan,Entry,522712,Tripura,18-25,First-Time Buyer,Offline,6.8,Standard,Social Media,3,2,No,East,02-03-2024,18.0
SAL00047,Jeep,Avenger,MPV,Electric,Manual,USA,Entry,469517,Delhi,26-35,Repeat Buyer,Online,3.2,Standard,Dealership Visit,3,1,No,West,25-05-2024,35.0
SAL00048,Renault,Kwid,Pickup,Diesel,Automatic,France,Entry,599320,Andhra Pradesh,26-35,Corporate,Offline,2.0,Comprehensive,Online Ads,2,1,No,North,01-01-2024,31.0
SAL00049,Lexus,ES300h,Pickup,Diesel,Automatic,Japan,Mid,975418,Maharashtra,46-60,Repeat Buyer,Online,5.5,Comprehensive,Social Media,2,4,No,North,02-03-2024,59.0
SAL00050,Jeep,Avenger,Sedan,Electric,Manual,USA,Mid,1130097,Karnataka,46-60,Repeat Buyer,Online,2.1,Comprehensive,Online Ads,1,1,No,West,29-03-2024,52.0
SAL00051,Tata,Punch,Sedan,Electric,Manual,India,Entry,406230,Sikkim,18-25,Repeat Buyer,Offline,1.9,Comprehensive,Dealership Visit,4,2,No,South,08-11-2024,19.0
SAL00052,BYD,Seal,Pickup,Diesel,Automatic,China,Premium,1647962,Maharashtra,26-35,First-Time Buyer,Online,8.5,Standard,Online Ads,5,0,Yes,North,07-06-2024,35.0
SAL00053,Jeep,Compass,SUV,Diesel,Manual,USA,Premium,1914200,Uttar Pradesh,18-25,Repeat Buyer,Offline,2.7,Comprehensive,Online Ads,1,1,Yes,West,04-08-2024,18.0
SAL00054,Hyundai,Creta,Pickup,Petrol,Automatic,Korea,Entry,568443,Haryana,26-35,Repeat Buyer,Offline,3.9,Standard,Social Media,3,1,No,South,11-08-2024,32.0
SAL00055,Toyota,Glanza,SUV,Electric,Manual,Japan,Premium,2345993,Himachal Pradesh,60+,First-Time Buyer,Offline,6.2,Comprehensive,TV Ads,3,1,No,West,13-01-2024,
SAL00056,BMW,M5 CS,SUV,Diesel,Manual,Germany,Entry,628075,Himachal Pradesh,36-45,First-Time Buyer,Online,2.1,Comprehensive,Newspaper,4,0,Yes,North,15-09-2024,36.0
SAL00057,Honda,Elevate,SUV,Electric,Manual,Japan,Mid,1041369,Bihar,36-45,Corporate,Offline,4.8,Standard,Dealership Visit,1,1,Yes,Central,31-07-2024,36.0
SAL00058,Mercedes,GLA,Sedan,Diesel,Manual,Germany,Mid,1208470,Himachal Pradesh,26-35,First-Time Buyer,Online,6.6,Comprehensive,Dealership Visit,5,2,Yes,North,24-11-2024,27.0
SAL00059,Citroen,C3,MPV,CNG,Automatic,France,Entry,647895,Tripura,26-35,Repeat Buyer,Offline,1.8,Standard,Dealership Visit,1,0,Yes,North,27-02-2024,29.0
SAL00060,Honda,Amaze,MPV,Electric,Manual,Japan,Mid,828764,Arunachal Pradesh,36-45,Repeat Buyer,Offline,6.5,Standard,Newspaper,1,1,No,Central,16-12-2024,45.0
SAL00061,Mercedes,GLE,Sedan,CNG,Manual,Germany,Premium,2230210,Nagaland,26-35,First-Time Buyer,Online,6.3,Comprehensive,TV Ads,4,2,Yes,South,27-02-2024,27.0
SAL00062,Mercedes,A-Class,SUV,Petrol,Automatic,Germany,Mid,1133953,Odisha,18-25,Repeat Buyer,Offline,5.4,Premium,Online Ads,5,2,Yes,West,06-01-2024,20.0
SAL00063,Ford,Mustang,Hatchback,Diesel,Automatic,USA,Mid,839785,Delhi,60+,Corporate,Offline,6.1,Standard,Dealership Visit,3,1,No,South,25-07-2024,
SAL00064,Volkswagen,Tiguan,SUV,Petrol,Automatic,Germany,Entry,609654,Mizoram,36-45,First-Time Buyer,Online,8.7,Comprehensive,Online Ads,2,4,Yes,South,13-10-2024,43.0
SAL00065,Toyota,Hilux,MPV,Petrol,Manual,Japan,Premium,2768377,Gujarat,18-25,First-Time Buyer,Online,6.6,Comprehensive,Social Media,5,2,Yes,West,15-04-2024,24.0
SAL00066,Toyota,Glanza,Hatchback,CNG,Automatic,Japan,Mid,1043717,Tamil Nadu,18-25,Repeat Buyer,Online,7.3,Standard,Social Media,3,4,Yes,South,23-01-2024,23.0
SAL00067,Jeep,Grand Cherokee,SUV,Diesel,Manual,USA,Mid,1085715,Uttar Pradesh,18-25,First-Time Buyer,Online,4.6,Premium,Social Media,4,1,Yes,East,16-01-2024,20.0
SAL00068,Toyota,Innova Hycross,Pickup,CNG,Manual,Japan,Luxury,5178599,Uttar Pradesh,46-60,First-Time Buyer,Online,2.3,Comprehensive,Dealership Visit,5,2,Yes,North,18-11-2024,60.0
SAL00069,BMW,M340i,MPV,Diesel,Automatic,Germany,Mid,700934,Karnataka,26-35,Corporate,Offline,0.2,Comprehensive,Newspaper,5,4,No,East,23-12-2024,26.0
SAL00070,Volkswagen,Polo,MPV,Electric,Manual,Germany,Entry,618992,Mizoram,46-60,Repeat Buyer,Offline,5.5,Comprehensive,Dealership Visit,3,2,Yes,West,26-06-2024,57.0
SAL00071,Citroen,C3,SUV,Diesel,Manual,France,Premium,1871982,Manipur,46-60,First-Time Buyer,Offline,6.7,Comprehensive,Social Media,3,5,No,Central,16-01-2024,48.0
SAL00072,Honda,WR-V,SUV,CNG,Manual,Japan,Entry,502479,Madhya Pradesh,18-25,Corporate,Online,6.0,Comprehensive,Social Media,1,2,Yes,Central,30-08-2024,22.0
SAL00073,Lexus,LX500d,MPV,Electric,Automatic,Japan,Mid,877389,Odisha,46-60,First-Time Buyer,Offline,7.0,Premium,Dealership Visit,1,1,No,West,05-05-2024,51.0
SAL00074,Maruti,Dzire,SUV,Electric,Manual,India,Mid,858805,Goa,26-35,First-Time Buyer,Offline,8.4,Standard,Newspaper,5,1,No,West,26-10-2024,27.0
SAL00075,Jeep,Grand Cherokee,Sedan,Diesel,Manual,USA,Mid,763404,Chhattisgarh,26-35,First-Time Buyer,Online,1.1,Comprehensive,Newspaper,2,1,Yes,South,08-12-2024,27.0
SAL00076,Citroen,eC3,Pickup,Electric,Automatic,France,Mid,752701,Maharashtra,36-45,Repeat Buyer,Offline,2.1,Premium,Online Ads,4,2,No,North,12-05-2024,42.0
SAL00077,Hyundai,Creta,Sedan,Diesel,Automatic,Korea,Entry,609628,Delhi,46-60,First-Time Buyer,Offline,3.0,Standard,TV Ads,3,1,Yes,East,10-03-2024,52.0
SAL00078,Kia,EV6,SUV,Diesel,Automatic,Korea,Mid,1329261,Manipur,26-35,First-Time Buyer,Offline,6.1,Standard,Social Media,1,2,Yes,West,19-02-2024,29.0
SAL00079,Volkswagen,Vento,Sedan,Petrol,Manual,Germany,Premium,2093230,Odisha,18-25,First-Time Buyer,Online,5.3,Standard,Newspaper,4,4,No,Central,28-04-2024,21.0
SAL00080,Mercedes,GLA,Sedan,Petrol,Manual,Germany,Premium,2761480,Odisha,18-25,Corporate,Offline,5.3,Premium,Social Media,5,2,No,North,22-03-2024,24.0
SAL00081,Renault,Kwid,Pickup,Diesel,Manual,France,Mid,1407030,Mizoram,18-25,First-Time Buyer,Online,4.6,Standard,TV Ads,3,5,No,North,19-01-2024,23.0
SAL00082,BYD,E6,Pickup,Petrol,Automatic,China,Mid,892621,Jharkhand,46-60,Corporate,Offline,5.5,Standard,Social Media,3,3,No,South,24-05-2024,60.0
SAL00083,Maruti,Baleno,Hatchback,CNG,Automatic,India,Mid,992033,Tripura,18-25,Corporate,Offline,5.4,Comprehensive,Newspaper,1,4,No,Central,19-06-2024,21.0
SAL00084,Tata,Harrier,MPV,Diesel,Manual,India,Premium,1509206,Punjab,26-35,Repeat Buyer,Offline,0.8,Comprehensive,Online Ads,2,1,No,North,18-05-2024,30.0
SAL00085,BMW,M5 CS,Pickup,Petrol,Manual,Germany,Mid,940624,Kerala,26-35,Repeat Buyer,Online,6.8,Standard,Dealership Visit,3,1,Yes,Central,19-11-2024,30.0
SAL00086,Mahindra,Bolero,Hatchback,Electric,Automatic,India,Entry,658029,Madhya Pradesh,18-25,First-Time Buyer,Online,1.3,Premium,Dealership Visit,2,2,Yes,East,27-04-2024,20.0
SAL00087,Maruti,Ertiga,Pickup,Electric,Manual,India,Mid,864156,West Bengal,18-25,Repeat Buyer,Online,5.2,Comprehensive,Newspaper,4,1,Yes,Central,18-04-2024,20.0
SAL00088,Skoda,Rapid,MPV,Diesel,Manual,Germany,Luxury,6089278,Manipur,26-35,Corporate,Online,4.9,Standard,Newspaper,3,3,Yes,North,20-08-2024,33.0
SAL00089,Honda,City,MPV,Electric,Manual,Japan,Mid,1239268,Mizoram,36-45,Repeat Buyer,Offline,3.1,Comprehensive,TV Ads,3,2,Yes,Central,26-11-2024,40.0
SAL00090,Jeep,Meridian,Sedan,Electric,Automatic,USA,Mid,896188,Bihar,26-35,Repeat Buyer,Offline,4.4,Premium,Social Media,2,0,No,Central,25-12-2024,27.0
SAL00091,Toyota,Urban Cruiser,MPV,Diesel,Automatic,Japan,Mid,1369571,Uttar Pradesh,60+,First-Time Buyer,Online,6.1,Premium,TV Ads,1,0,Yes,Central,02-10-2024,
SAL00092,Skoda,Slavia,SUV,Electric,Manual,Germany,Mid,1165834,Nagaland,26-35,Repeat Buyer,Online,1.2,Standard,Dealership Visit,5,0,No,North,01-02-2024,26.0
SAL00093,Hyundai,Creta,Sedan,CNG,Manual,Korea,Premium,2502284,West Bengal,36-45,Repeat Buyer,Online,7.6,Standard,Social Media,4,2,Yes,East,26-06-2024,41.0
SAL00094,Honda,WR-V,MPV,CNG,Manual,Japan,Mid,966779,Meghalaya,36-45,Repeat Buyer,Online,6.3,Standard,TV Ads,3,2,No,Central,06-03-2024,43.0
SAL00095,Honda,Amaze,MPV,Petrol,Manual,Japan,Mid,1234105,Tamil Nadu,18-25,First-Time Buyer,Online,6.9,Standard,Dealership Visit,1,1,No,East,10-12-2024,19.0
SAL00096,Toyota,Fortuner,MPV,Electric,Automatic,Japan,Luxury,4209564,Karnataka,36-45,First-Time Buyer,Offline,3.6,Comprehensive,Social Media,3,3,Yes,North,27-01-2024,45.0
SAL00097,BYD,E6,Pickup,Petrol,Automatic,China,Entry,659245,Jammu and Kashmir,36-45,First-Time Buyer,Offline,4.4,Comprehensive,Online Ads,4,1,No,West,24-10-2024,38.0
SAL00098,Mercedes,E-Class,Pickup,Diesel,Automatic,Germany,Premium,1798519,Rajasthan,18-25,Corporate,Online,6.9,Comprehensive,Online Ads,5,2,Yes,Central,25-03-2024,19.0
SAL00099,Mahindra,Scorpio-N,Hatchback,Diesel,Manual,India,Mid,1074934,Tamil Nadu,46-60,First-Time Buyer,Offline,4.6,Standard,TV Ads,3,1,No,East,23-04-2024,51.0
SAL00100,MG,Comet EV,Hatchback,Electric,Manual,China,Premium,1804771,Jharkhand,18-25,First-Time Buyer,Offline,7.8,Standard,Newspaper,2,2,Yes,Central,25-09-2024,24.0
SAL00101,Lexus,ES300h,Sedan,Electric,Automatic,Japan,Entry,692920,Tamil Nadu,26-35,Repeat Buyer,Offline,4.0,Standard,Social Media,1,2,Yes,South,19-08-2024,27.0
SAL00102,Kia,Sonet,SUV,Petrol,Manual,Korea,Mid,1418191,Goa,26-35,First-Time Buyer,Offline,8.4,Premium,TV Ads,5,1,No,South,07-03-2024,32.0
SAL00103,Tata,Harrier,Pickup,Diesel,Automatic,India,Mid,874717,Nagaland,36-45,First-Time Buyer,Offline,6.8,Premium,Newspaper,3,2,No,North,13-05-2024,39.0
SAL00104,Tata,Punch,Sedan,Diesel,Automatic,India,Premium,2327419,Karnataka,36-45,First-Time Buyer,Offline,5.6,Comprehensive,Newspaper,5,0,Yes,East,01-01-2024,43.0
SAL00105,Lexus,ES300h,Sedan,Petrol,Automatic,Japan,Premium,1964424,Telangana,18-25,Corporate,Offline,6.6,Standard,Social Media,2,3,No,East,23-03-2024,18.0
SAL00106,BYD,E6,Pickup,Diesel,Manual,China,Entry,489235,Assam,36-45,First-Time Buyer,Online,3.2,Standard,Social Media,3,1,Yes,Central,10-04-2024,41.0
SAL00107,Jeep,Compass,Pickup,Electric,Automatic,USA,Entry,429596,Uttarakhand,26-35,Repeat Buyer,Offline,3.1,Comprehensive,Newspaper,5,3,Yes,South,24-11-2024,26.0
SAL00108,Jeep,Wrangler,MPV,CNG,Automatic,USA,Mid,1154116,Telangana,60+,First-Time Buyer,Offline,5.4,Standard,Dealership Visit,3,4,Yes,Central,08-04-2024,
SAL00109,BYD,Seal,Pickup,Electric,Manual,China,Mid,1377798,Rajasthan,46-60,Corporate,Online,9.2,Premium,TV Ads,3,1,Yes,Central,07-08-2024,52.0
SAL00110,Jeep,Compass,Pickup,Petrol,Automatic,USA,Luxury,8310145,Manipur,26-35,Repeat Buyer,Offline,6.2,Standard,Social Media,5,5,No,North,23-11-2024,26.0
SAL00111,Honda,City,Hatchback,Electric,Automatic,Japan,Entry,633368,Rajasthan,18-25,Repeat Buyer,Online,7.0,Comprehensive,Newspaper,3,0,No,West,25-06-2024,19.0
SAL00112,Volkswagen,Vento,MPV,Petrol,Manual,Germany,Entry,477237,Rajasthan,26-35,First-Time Buyer,Online,4.0,Standard,Dealership Visit,2,3,Yes,North,05-05-2024,29.0
SAL00113,MG,Astor,SUV,Electric,Automatic,China,Mid,734081,Haryana,36-45,Repeat Buyer,Online,3.8,Standard,Online Ads,5,3,No,North,29-07-2024,44.0
SAL00114,Skoda,Octavia,SUV,Diesel,Automatic,Germany,Premium,2271868,Delhi,18-25,First-Time Buyer,Online,5.9,Premium,Newspaper,5,2,Yes,North,22-02-2024,21.0
SAL00115,Maruti,Ertiga,SUV,Petrol,Automatic,India,Entry,662901,Bihar,36-45,Corporate,Online,3.7,Premium,Dealership Visit,2,1,Yes,Central,25-12-2024,43.0
SAL00116,Lexus,NX350h,MPV,Electric,Manual,Japan,Luxury,6387197,Karnataka,26-35,First-Time Buyer,Online,7.3,Comprehensive,Online Ads,2,0,No,Central,13-05-2024,27.0
SAL00117,Honda,WR-V,Pickup,Electric,Manual,Japan,Mid,847265,West Bengal,36-45,Corporate,Online,7.7,Premium,Dealership Visit,2,5,Yes,Central,17-05-2024,38.0
SAL00118,Ford,EcoSport,Hatchback,Diesel,Automatic,USA,Premium,2628088,Mizoram,18-25,Repeat Buyer,Offline,4.4,Standard,Social Media,3,0,Yes,Central,06-06-2024,21.0
SAL00119,Renault,Triber,Sedan,Electric,Automatic,France,Luxury,4737662,Uttar Pradesh,18-25,Repeat Buyer,Offline,5.1,Premium,Newspaper,3,0,No,South,12-07-2024,21.0
SAL00120,Honda,Jazz,MPV,CNG,Manual,Japan,Mid,768125,Tamil Nadu,46-60,First-Time Buyer,Online,5.3,Premium,Online Ads,4,1,No,East,18-05-2024,51.0
SAL00121,MG,Astor,SUV,Electric,Manual,China,Entry,694227,Gujarat,26-35,First-Time Buyer,Offline,4.5,Standard,Dealership Visit,3,2,Yes,South,24-05-2024,34.0
SAL00122,Mercedes,C-Class,Pickup,CNG,Manual,Germany,Luxury,8821562,Goa,26-35,First-Time Buyer,Offline,5.4,Comprehensive,Online Ads,2,1,Yes,East,17-01-2024,29.0
SAL00123,Mercedes,GLA,Hatchback,Electric,Manual,Germany,Entry,540422,Madhya Pradesh,46-60,First-Time Buyer,Online,2.3,Premium,TV Ads,4,5,Yes,Central,22-01-2024,55.0
SAL00124,BMW,X3,MPV,CNG,Manual,Germany,Mid,701432,Assam,36-45,First-Time Buyer,Offline,3.7,Comprehensive,Newspaper,2,1,No,South,17-08-2024,45.0
SAL00125,MG,Hector,Pickup,Diesel,Manual,China,Premium,2432067,Odisha,46-60,First-Time Buyer,Offline,0.3,Comprehensive,Social Media,1,2,No,East,23-02-2024,49.0
SAL00126,Kia,Carens,MPV,Electric,Manual,Korea,Mid,1460852,Goa,18-25,First-Time Buyer,Offline,3.1,Premium,Online Ads,5,3,No,West,16-04-2024,19.0
SAL00127,Toyota,Glanza,Hatchback,Electric,Manual,Japan,Entry,542633,Tripura,26-35,First-Time Buyer,Offline,5.8,Standard,Dealership Visit,1,1,No,North,22-08-2024,29.0
SAL00128,MG,Hector,Pickup,Petrol,Automatic,China,Entry,581176,Nagaland,36-45,First-Time Buyer,Online,3.5,Premium,Online Ads,2,1,No,East,25-07-2024,43.0
SAL00129,BMW,X5,Sedan,Petrol,Automatic,Germany,Mid,1061779,Haryana,26-35,Repeat Buyer,Offline,3.6,Standard,Dealership Visit,3,1,No,South,29-03-2024,33.0
SAL00130,Kia,Seltos,SUV,Electric,Automatic,Korea,Premium,1947513,Jammu and Kashmir,46-60,First-Time Buyer,Online,7.9,Standard,Online Ads,5,2,Yes,South,30-11-2024,46.0
SAL00131,BMW,X5,MPV,Petrol,Manual,Germany,Mid,1321018,Sikkim,26-35,First-Time Buyer,Offline,3.9,Premium,Social Media,3,1,No,West,23-07-2024,32.0
SAL00132,Kia,Carnival,Sedan,Petrol,Manual,Korea,Entry,492990,Chhattisgarh,26-35,First-Time Buyer,Online,4.6,Standard,Social Media,3,2,No,East,09-02-2024,33.0
SAL00133,Tata,Safari,Hatchback,Diesel,Automatic,India,Mid,1330941,Goa,46-60,First-Time Buyer,Online,4.3,Standard,Newspaper,5,2,Yes,North,11-06-2024,54.0
SAL00134,Tata,Punch,Sedan,Petrol,Manual,India,Entry,457028,Karnataka,26-35,Repeat Buyer,Offline,5.5,Comprehensive,Social Media,5,4,Yes,South,28-10-2024,31.0
SAL00135,MG,Gloster,SUV,Electric,Manual,China,Entry,492806,Jammu and Kashmir,18-25,First-Time Buyer,Online,2.1,Premium,Online Ads,1,1,Yes,Central,02-11-2024,25.0
SAL00136,BMW,X3,Hatchback,CNG,Manual,Germany,Mid,1007103,Tripura,18-25,Corporate,Online,6.5,Standard,Online Ads,2,3,No,Central,02-01-2024,20.0
SAL00137,BMW,X3,Pickup,Electric,Manual,Germany,Premium,2403879,Assam,26-35,First-Time Buyer,Offline,7.1,Standard,Social Media,3,3,Yes,East,28-09-2024,33.0
SAL00138,Renault,Kwid,Pickup,CNG,Automatic,France,Entry,633440,Goa,18-25,First-Time Buyer,Offline,2.9,Standard,TV Ads,2,3,No,West,25-02-2024,18.0
SAL00139,Kia,Seltos,MPV,Diesel,Manual,Korea,Mid,1488498,Sikkim,18-25,First-Time Buyer,Online,6.1,Comprehensive,Online Ads,2,3,Yes,North,23-05-2024,24.0
